125,77,162.3376600000
78,72,108.3333400000
120,83,144.5783100000
115,64,179.6875000000
97,76,127.6315800000
124,90,137.7777900000
132,75,176.0000000000
113,77,146.7532500000
131,91,143.9560400000
117,66,177.2727200000
76,82,92.6829300000
133,81,164.1975300000
107,68,157.3529400000
117,95,123.1579000000
138,78,176.9230700000
187,79,236.7088600000
138,101,136.6336500000
136,72,188.8888900000
266,97,274.2268100000
152,90,168.8888900000
124,81,153.0864300000
122,92,132.6087000000
146,89,164.0449400000
115,70,164.2857200000
116,89,130.3370800000
139,86,161.6279100000
111,73,152.0547900000
118,92,128.2608800000
144,80,180.0000000000
111,68,163.2352900000
124,87,142.5287300000
132,72,183.3333400000
82,67,122.3880600000
133,98,135.7142800000
140,75,186.6666700000
119,75,158.6666700000
138,109,126.6055000000
144,81,177.7777900000
124,81,153.0864300000
147,103,142.7184400000
128,75,170.6666700000
122,84,145.2380800000
145,96,151.0416600000
123,73,168.4931500000
124,85,145.8823500000
148,103,143.6893200000
110,79,139.2405100000
132,88,150.0000000000
149,95,156.8421000000
127,77,164.9350600000
133,84,158.3333400000
144,83,173.4939900000
126,75,168.0000000000
133,101,131.6831700000
165,92,179.3478200000
130,84,154.7619200000
119,84,141.6666600000
