179,101,177.2277200000
189,100,189.0000000000
189,100,189.0000000000
189,100,189.0000000000
189,99,190.9090900000
189,98,192.8571500000
189,98,192.8571500000
189,98,192.8571500000
190,98,193.8775500000
190,97,195.8762800000
189,97,194.8453700000
189,96,196.8750000000
188,95,197.8947400000
187,94,198.9361600000
187,94,198.9361600000
187,93,201.0752700000
186,93,200.0000000000
187,93,201.0752700000
186,92,202.1739200000
186,92,202.1739200000
186,91,204.3956000000
185,91,203.2967100000
185,90,205.5555600000
185,90,205.5555600000
184,89,206.7415800000
184,89,206.7415800000
184,89,206.7415800000
184,89,206.7415800000
184,88,209.0909000000
184,88,209.0909000000
184,88,209.0909000000
184,88,209.0909000000
184,88,209.0909000000
184,87,211.4942600000
183,87,210.3448300000
183,86,212.7907100000
183,86,212.7907100000
183,86,212.7907100000
183,86,212.7907100000
183,86,212.7907100000
183,86,212.7907100000
183,85,215.2941300000
182,85,214.1176500000
182,85,214.1176500000
182,85,214.1176500000
182,84,216.6666700000
182,84,216.6666700000
182,84,216.6666700000
181,83,218.0723000000
180,83,216.8674800000
181,82,220.7317000000
180,82,219.5122100000
